sample_size,trial,grid_information_error
6400,25,0.0025540245326990674
6400,26,0.0028825050474147462
6400,27,0.0006431081519172044
6400,28,0.0025108722901352742
6400,29,0.00019869396295466024
6400,30,0.0024776924222194296
6400,31,0.001298510154447985
6400,32,0.0009724012970455387
6400,33,0.0031766217400790164
6400,34,0.0009102137752173278
6400,35,0.0032846846693423692
6400,36,0.0013405567498422089
6400,37,0.0010529086589733394
6400,38,0.0021935226710057543
6400,39,0.0011109580509262862
6400,40,0.0015490538501604645
6400,41,0.002824597039925311
6400,42,0.0035125336193445045
6400,43,0.00260646278315782
6400,44,0.0031165769007928112
6400,45,0.0031332682340781404
6400,46,0.001254337712447623
6400,47,0.0005558486366016302
6400,48,0.002619607285685055
6400,49,0.0018550639176325157
6400,50,0.0010623469345442949
6400,51,0.0012245944981061907
6400,52,0.004271857318916161
6400,53,0.0014665684399469692
6400,54,0.0017302648940832055
6400,55,0.0036017882936805745
6400,56,0.0014716971112475608
6400,57,0.0009945588745298162
6400,58,0.0032379751464353124
6400,59,0.0019099972903935947
6400,60,0.003056448211766122
6400,61,0.0011074150498364688
6400,62,0.0014958631036518788
6400,63,0.0013113987070938193
6400,64,0.0006735074286720599
6400,65,0.0021189793336721385
6400,66,0.001973870270324196
6400,67,0.00360579400361416
6400,68,0.0026963675064591297
6400,69,0.0034177613151982755
6400,70,0.0010350914034103487
6400,71,0.003299269767848806
6400,72,0.001436474155693146
6400,73,0.0016470075808321105
6400,74,0.0028043742491865586
6400,75,0.0026829075189200025
6400,76,0.0007413774541927542
6400,77,0.0017202906114030525
6400,78,0.0004896176948748221
6400,79,0.002373726526425285
6400,80,0.0013081932428471443
6400,81,0.00123292829406918
6400,82,0.0043455954507773675
6400,83,0.0015385976300562043
6400,84,0.0025321020996899313
6400,85,0.0027341779572713776
6400,86,0.00232521519769871
6400,87,0.001521026335317588
6400,88,0.0016979483433596787
6400,89,0.001445245433056852
6400,90,0.0030676493129535576
6400,91,0.0013597575116349736
6400,92,0.0024834133307974626
6400,93,0.0056350638023282
6400,94,0.0009975386379434403
6400,95,0.0023120414727579586
6400,96,0.004200412858451658
6400,97,0.0013563386628895058
6400,98,0.0026999838632524586
6400,99,0.0018948351536581254
6400,100,0.0014609860688064302
6400,101,0.002795480183280241
6400,102,0.0007461106639272685
6400,103,0.0023428081568340475
6400,104,0.0009096850189644345
6400,105,0.003568766866929085
6400,106,0.0008215857528722503
6400,107,0.0006713970792811275
6400,108,0.0013551398557852812
6400,109,0.0018180407812854182
6400,110,0.0008962746797574195
6400,111,0.002887977766698885
6400,112,0.0013833993850409232
6400,113,0.0021676167900393506
6400,114,0.0006711442757516839
6400,115,0.0012559939461660174
6400,116,0.0014992263710872367
6400,117,0.0006218240315670198
6400,118,0.004539363647470901
6400,119,0.000643832412742823
6400,120,0.0028795448178719762
6400,121,0.0014517714557576167
6400,122,0.004275801510880528
6400,123,0.0018425715236441431
6400,124,0.0023179644835004676
6400,125,0.0014769698287670219
6400,126,0.0011881775102411118
6400,127,0.0032652935003822103
6400,128,0.0015092180699979862
6400,129,0.0006738658008257348
6400,130,0.0013616049173650613
6400,131,0.001922916909702338
6400,132,0.002266171254977467
6400,133,0.0007598156100667997
6400,134,0.001487650385010364
6400,135,0.0008052193248772044
6400,136,0.003482808136743981
6400,137,0.00224111273068614
6400,138,0.0017657279424999617
6400,139,0.001675398568475206
6400,140,0.0019267731175233171
6400,141,0.0021301159310380124
6400,142,0.0010236432922980099
6400,143,0.003581034479903822
6400,144,0.0014263715278896583
6400,145,0.002142687554122724
6400,146,0.0023595508154488354
6400,147,0.00202457948925458
6400,148,0.002734430130696075
6400,149,0.0022405349705892086
6400,150,0.002174873920951642
6400,151,0.0027408111709844307
6400,152,0.002300268686287049
6400,153,0.001694828780668678
6400,154,0.001330318888700277
6400,155,0.0023445638945947256
6400,156,0.0009037792594849547
6400,157,0.0011694191736458526
6400,158,0.0011336183853556392
6400,159,0.0042141528304729114
6400,160,0.0002892931684551625
6400,161,0.0019789116083131497
6400,162,0.0009389288095633941
6400,163,0.0003402526823136631
6400,164,0.0017319762476305789
6400,165,0.004270460327817749
6400,166,0.0006795013405784534
6400,167,0.0021659640617743003
6400,168,0.0028416735261040382
6400,169,0.00160338594140072
6400,170,0.0018141889958414315
6400,171,0.0015604276010844909
6400,172,0.00174854399972027
6400,173,0.0018439945143566838
6400,174,0.0037875298124835366
6400,175,0.00408533557789989
6400,176,0.0009811229601559834
6400,177,0.0023912103759967385
6400,178,0.0023047118544850254
6400,179,0.000739442212275343
6400,180,0.0025483173796153336
6400,181,0.00278959928138503
6400,182,0.0027190801304747825
6400,183,0.0005492348016888915
6400,184,0.002389570275218633
6400,185,0.0019487127263623782
6400,186,0.001988771299794162
6400,187,0.0021841026253163753
6400,188,0.002443979622636372
6400,189,0.0009131460885069276
6400,190,0.0017556290728270585
6400,191,0.0012151259282407179
6400,192,0.0018173577735504098
6400,193,0.002559786880498849
6400,194,0.0025494032341972783
6400,195,0.0006631165032006114
6400,196,0.0008626019148833819
6400,197,0.001286279615722613
6400,198,0.001662821704183387
6400,199,0.0013538166377985439
